,Name,College,Quality Score,Difficulty Score,GPA,Would Take Again,Number of Ratings,Number of Sections,Total Students
568,Nur Ozaltin,College of Engineering,5.0,2.2,3.3207970244420824,90.9091,11,20,941
569,Matthew Stimpson,College of Engineering,5.0,2.0,3.2633186813186805,100.0,1,13,455
570,Gary Ybarra,College of Engineering,2.5,3.4,2.9009913147649002,36.3636,22,38,3339
571,Michael Escuti,College of Engineering,4.5,2.4,2.9333642691415314,100.0,5,13,862
572,Daryoosh Vashaee,College of Engineering,2.8,4.6,2.4085714285714284,43.5484,62,16,616
573,Elena Veety,College of Engineering,4.8,2.8,2.8469286917462093,95.2381,21,25,1781
574,Mehmet Ozturk,College of Engineering,2.4,3.7,2.6783712574850296,24.0,43,24,1670
575,Ross Bassett,College of Humanities and Social Sciences,4.1,2.8,3.1331249999999997,86.2069,42,59,2368
576,SakthiKumaran Sambasivam,College of Engineering,1.0,5.0,2.51675,0.0,1,4,120
577,Bob Evans,College of Engineering,2.6,3.3,2.779175555555555,45.5696,79,42,4500
578,Michael D'Argenio,College of Engineering,5.0,3.0,3.11,100.0,1,1,27
579,Paul Bowman,College of Engineering,2.6,3.0,3.056832298136646,66.6667,12,25,1449
580,Huiyang Zhou,College of Engineering,4.0,3.7,2.46019536019536,83.3333,6,12,819
581,Cecilia Townsend,College of Engineering,3.9,3.0,2.5965582495564754,73.913,25,85,3382
582,Abraham Vazquez-Guardado,College of Engineering,4.0,2.5,2.73,50.0,2,1,79
583,Leda Lunardi,College of Engineering,2.0,4.0,2.628054522924411,38.8889,23,27,1614
584,Karl Molnar,College of Engineering,1.8,3.6,2.6763754045307446,20.0,14,30,1854
585,Jim Carlson,College of Engineering,4.5,4.3,2.9749946178686764,88.2353,18,41,2787
586,Dawit Lakew,College of Engineering,3.8,2.0,3.6192017738359206,66.6667,6,4,451
587,Arati Dixit,College of Engineering,1.8,4.3,2.8258944281524925,0.0,4,3,341
588,Jeanne Sanders,College of Engineering,5.0,3.0,2.7139024390243907,100.0,1,2,164
589,James Tuck,College of Engineering,4.5,2.6,3.0243174204355108,91.6667,18,32,2388
590,Devesh Tiwari,College of Engineering,3.8,1.8,2.285,-1.0,6,2,64
591,Aydin Aysu,College of Engineering,4.8,2.5,3.522459425717853,91.6667,24,8,801
592,Udai Muhammed,College of Engineering,2.2,3.1,3.57,18.75,16,1,86
593,Jeremy Brown,College of Engineering,5.0,3.0,3.203142857142857,100.0,1,3,105
594,Yan Solihin,College of Engineering,1.6,3.0,2.9466972477064224,0.0,3,4,327
595,Norm Strole,College of Engineering,2.0,2.4,3.1450757575757575,0.0,5,6,396
596,Winser Alexander,College of Engineering,1.3,2.3,2.8575609756097564,0.0,8,5,369
597,Eric Rotenberg,College of Engineering,4.9,3.1,2.8130352644836267,100.0,12,15,794
598,Wesley Snyder,College of Engineering,3.3,3.7,2.5131046931407943,-1.0,3,7,554
599,Tom Bradicich,College of Engineering,4.6,2.6,2.861694915254237,-1.0,5,3,59
600,Brian Hughes,College of Engineering,5.0,2.9,2.977073170731707,95.4545,26,27,1968
601,Eli Buckner,College of Engineering,5.0,2.0,3.0268363636363635,100.0,5,10,275
602,Cranos Williams,College of Engineering,4.4,2.3,3.0852226720647775,100.0,6,11,741
603,Joel Trussell,College of Engineering,1.8,4.5,1.8851674641148326,0.0,13,3,209
604,Yannis Viniotis,College of Engineering,3.7,3.1,2.7301986754966894,70.0,16,15,453
605,Michael Devetsikiotis,College of Engineering,1.0,4.0,2.4910697674418607,-1.0,1,5,215
606,Chau-Wai Wong,College of Engineering,3.0,4.2,3.3257487922705313,60.0,5,8,414
607,Ender Ozturk,College of Engineering,4.0,3.0,2.6679487179487182,100.0,2,4,117
608,Selene Schmittling,College of Engineering,5.0,4.0,2.62,100.0,1,1,42
609,Samuel Alexander,College of Engineering,4.6,2.9,2.9740008697542932,100.0,13,91,4599
610,Griff Bilbro,College of Engineering,1.0,2.0,3.051473317865429,-1.0,2,20,862
611,Nirjhor Rouf,College of Engineering,2.5,4.0,2.364830508474576,50.0,2,2,118
612,Ginger Yu,College of Engineering,4.2,4.0,2.605102465102465,82.3529,25,61,3367
613,Spyridon Pavlidis,College of Engineering,5.0,4.0,2.9456164383561645,100.0,1,2,73
614,Barton Greene,College of Engineering,3.5,3.0,3.636722621902478,-1.0,1,32,1251
615,Qing Gu,College of Engineering,2.3,4.0,2.221901081916538,0.0,3,6,647
616,John Muth,College of Engineering,4.0,4.0,3.3389411764705876,100.0,1,7,170
617,Jacob Adams,College of Engineering,3.0,5.0,2.9122862823061633,0.0,1,8,503
618,Robert Kolbas,College of Engineering,3.3,4.2,2.7241544607190415,66.6667,5,20,751
619,Leonard White,College of Engineering,4.2,4.2,3.0752802893309217,80.0,5,14,553
620,Goran Mandic,College of Engineering,3.8,3.8,2.510738095238095,80.0,5,12,420
621,Subhashish Bhattacharya,College of Engineering,1.9,3.5,2.03,0.0,4,1,58
622,Alexander Dean,College of Engineering,2.0,3.1,3.19411227154047,25.0,18,23,766
623,Andrew Rindos,College of Engineering,3.3,3.1,3.1504536290322585,37.5,8,15,992
624,Edgar Lobaton,College of Engineering,2.4,3.4,3.3494021215043395,28.5714,8,13,1037
625,Amro Awad,College of Engineering,4.4,3.2,2.4951515151515147,80.0,5,5,132
626,George Li,College of Engineering,1.4,2.8,3.34,0.0,8,1,93
627,Kamal Sundaresan,College of Engineering,2.4,3.0,3.331380563124432,30.0,10,11,1101
628,Omer Oralkan,College of Engineering,3.4,3.9,2.606296670030272,42.8571,7,11,991
629,Alexandra Duel-Hallen,College of Engineering,4.5,3.3,3.7118271334792117,100.0,3,59,2742
630,Beryl Pittman,College of Humanities and Social Sciences,3.4,2.8,3.37913217623498,53.8462,20,139,2996
631,Wallace  Pitts,College of Engineering,2.0,3.0,3.67,0.0,1,3,60
632,Walker Turner,College of Engineering,5.0,3.0,3.342014925373134,100.0,2,2,134
633,Morteza Abbasi,College of Engineering,1.0,4.0,3.0586956521739133,0.0,1,2,161
634,Paul Franzon,College of Engineering,4.4,3.9,3.0090243902439027,100.0,8,16,492
635,Mihail Sichitiu,College of Engineering,4.3,2.7,3.226729508196721,75.0,10,27,1220
636,Wenye Wang,College of Engineering,3.0,3.3,3.1241319444444446,100.0,3,6,288
637,Michael Steer,College of Engineering,2.3,2.7,3.590554765291607,33.3333,3,12,703
638,David Ricketts,College of Engineering,5.0,3.0,3.7053497942386837,100.0,1,7,243
639,Zeljko Pantic,College of Engineering,2.0,4.0,2.899,0.0,1,5,240
640,Mehnaz Khan,College of Engineering,2.5,4.0,3.1631896551724137,0.0,2,2,116
641,Veena Misra,College of Engineering,3.5,1.0,2.9992592592592593,-1.0,1,3,54
642,Ning Lu,College of Engineering,4.0,2.0,3.2851187904967603,100.0,1,10,463
643,Wenyuan Tang,College of Engineering,4.7,1.0,3.0655144032921813,100.0,3,6,243
644,Mesut Baran,College of Engineering,4.5,2.5,2.8099352750809055,100.0,2,11,309
645,Hamed Mohammadbagherpoor,College of Engineering,5.0,2.0,3.12,100.0,1,1,32
646,Frederick Livingston,College of Engineering,5.0,5.0,3.9119111111111113,-1.0,1,6,225
647,Mo-Yuen Chow,College of Engineering,2.0,3.6,2.9121160409556315,0.0,9,11,293
648,Bharat Balagopal,College of Engineering,1.0,4.5,2.869565217391304,0.0,2,2,46
649,Michela Becchi,College of Engineering,2.6,4.8,1.9887499999999998,28.5714,14,7,176
650,Fang Liu,College of Engineering,1.2,5.0,2.43,0.0,6,1,42
651,Rachana Gupta,College of Engineering,2.0,3.8,3.5838821562891767,22.2222,18,36,2393
652,Bobby Compton,College of Engineering,3.5,3.3,3.6972049689440993,63.1579,19,12,644
653,Jean Shortley,College of Engineering,2.0,2.0,3.5207665505226484,0.0,1,5,287
654,Jeremy Edmondson,College of Engineering,2.0,4.0,3.597679882525698,25.0,4,6,681
655,Tianfu Wu,College of Engineering,2.3,2.4,3.4,28.5714,7,1,20
656,Reha Uzsoy,College of Engineering,4.7,3.3,2.4467295597484275,-1.0,6,10,318
657,Ola Harrysson,College of Engineering,2.8,3.3,3.152005649717514,33.3333,6,14,708
658,Jason Low,College of Engineering,2.0,4.3,3.272928571428572,0.0,4,37,1260
659,Eli Wilson,College of Engineering,5.0,2.0,3.475631067961165,100.0,1,4,206
660,Rohan Shirwaiker,College of Engineering,4.0,4.0,3.2250129198966406,100.0,1,9,387
661,Christopher Irwin,College of Engineering,4.4,2.3,3.641209942481512,100.0,7,35,4868
662,Kanton Reynolds,College of Engineering,3.2,3.0,3.349259259259259,33.3333,6,16,513
663,Richard Bernhard,College of Engineering,1.5,4.5,2.6599673202614382,-1.0,2,6,306
664,Mahmoud Ayoub,College of Engineering,2.3,3.5,2.126909090909091,-1.0,4,4,165
665,Yuan-Shin Lee,College of Engineering,4.0,2.3,3.4367885117493464,50.0,4,19,766
666,Lokesh Narayanan,College of Engineering,4.0,4.0,3.6960869565217394,100.0,1,2,23
667,Carter Keough,College of Engineering,3.2,3.8,3.655,40.0,5,2,92
668,Richard Wysk,College of Engineering,1.0,4.0,3.122062084257206,0.0,1,11,451
669,Priscille Koutouan,College of Engineering,2.0,3.0,2.43,0.0,1,1,51
670,Kurtis Konrad,College of Engineering,5.0,4.0,3.3062105263157897,100.0,2,2,95
671,Brian Denton,College of Engineering,5.0,3.3,2.6571681415929205,-1.0,3,4,113
672,Erik Rosenstrom,College of Engineering,2.0,4.0,2.8800000000000003,0.0,1,1,48
673,Rahman Khorramfar,College of Engineering,1.6,4.9,3.0,9.0909,11,1,50
674,Thom Hodgson,College of Engineering,4.8,3.0,3.3219823788546257,-1.0,3,14,454
675,Jordan Kern,College of Engineering,5.0,2.3,3.5933245382585755,100.0,6,16,1137
676,Hong Wang,College of Sciences,3.6,3.8,2.510458300026646,70.0,12,48,3753
677,James Wils,College of Humanities and Social Sciences,4.7,2.4,3.5563338533541335,91.6667,15,23,641
678,Michael Kay,College of Engineering,4.5,3.5,3.0345039370078744,100.0,2,17,635
679,Tim Horn,College of Engineering,4.0,2.3,3.451920341394026,75.0,4,25,703
680,Jefferey Eischen,College of Engineering,4.0,2.1,3.3002590673575125,75.0,7,95,2702
681,Alexei Saveliev,College of Engineering,4.7,3.0,3.012132034632035,94.7368,20,53,2772
682,Mary Zadeh,College of Engineering,3.1,3.9,3.1034491978609626,50.0,40,23,748
683,Nancy Moore,College of Engineering,2.1,4.0,2.4626405959031668,30.7692,53,109,5370
684,Jun Liu,College of Engineering,4.5,3.5,2.7686952554744524,100.0,6,17,1096
685,Greg Eades,College of Engineering,4.4,2.7,3.1863803680981593,71.4286,7,4,326
686,Arun Kota,College of Engineering,5.0,2.3,3.4623185011709605,100.0,4,6,427
687,sajjad bigham,College of Engineering,5.0,3.0,3.060873786407767,100.0,1,2,103
688,Brendan O'Connor,College of Engineering,2.8,3.6,3.0900626118067973,50.0,10,26,1118
689,Clement Kleinstreuer,College of Engineering,3.3,4.9,1.70988358556461,33.3333,14,13,859
690,Richard Gould,College of Engineering,4.7,3.3,2.792673611111112,75.0,13,23,864
691,Kevin Lyons,College of Engineering,4.4,2.0,3.632562128106406,100.0,5,52,2857
692,Mehedi Hassan,College of Engineering,1.0,3.0,3.225454545454546,0.0,1,2,22
693,Paul Ro,College of Engineering,3.0,4.5,2.612987364620939,100.0,6,28,1108
694,Eric Klang,College of Engineering,2.6,3.6,3.361530524505589,-1.0,5,28,1163
695,Afsaneh Rabiei,College of Engineering,2.7,4.1,2.308238267148014,69.2308,32,33,1385
696,Fen WU,College of Engineering,2.3,4.4,2.2978305257784584,40.0,10,46,1959
697,Felix Ewere,College of Engineering,1.1,4.9,3.5764663951120164,0.0,8,22,982
698,Katherine Saul,College of Engineering,4.8,2.9,2.9058595641646487,100.0,17,35,1652
699,Joe Manning,College of Engineering,3.1,2.6,3.5873313343328337,71.4286,14,27,667
700,Gregory Buckner,College of Engineering,4.9,3.4,2.8522226944326396,100.0,37,50,2353
701,Mohammad Heiranian,College of Engineering,5.0,4.0,2.540483870967742,100.0,1,2,124
702,Cheryl Xu,College of Engineering,3.6,3.0,3.196559865092749,57.1429,7,12,593
703,Scott Ferguson,College of Engineering,3.7,3.3,3.085947521865889,81.25,35,35,2058
704,Landon Grace,College of Engineering,4.7,2.7,3.0573796296296294,100.0,7,17,1080
705,Andre Mazzoleni,College of Engineering,4.3,3.0,3.268024844720497,85.7143,13,47,1610
706,Richard Keltie,College of Engineering,4.4,2.7,2.741761308950915,75.0,8,16,1039
707,Matthew Bryant,College of Engineering,4.5,3.7,2.9697303370786514,100.0,6,16,890
708,Emily McCain,College of Engineering,5.0,3.0,3.16,100.0,1,1,19
709,Yun Jing,College of Engineering,3.7,2.5,2.8218005952380953,75.0,4,12,672
710,Jong Ryu,College of Engineering,3.1,3.4,2.9895363540569013,58.8235,17,19,949
711,Gracious Ngaile,College of Engineering,3.3,3.8,3.3361459403905442,75.0,4,32,973
712,Jingjie Hu,College of Engineering,3.3,3.9,2.7060198019801978,55.5556,9,12,505
713,Richard Johnson,College of Engineering,4.8,3.3,3.019289719626168,100.0,3,18,535
714,Xiaoning Jiang,College of Engineering,2.9,3.8,2.9798832684824905,33.3333,4,21,771
715,Chih-Hao Chang,College of Engineering,3.9,3.7,2.93324144486692,50.0,3,16,1052
716,Steven Berg,College of Engineering,4.5,3.2,3.320757042253521,66.6667,6,10,568
717,Ashok Gopalarathnam,College of Engineering,4.1,2.6,3.110935251798561,92.8571,14,29,1529
718,Chi-An Yeh,College of Engineering,3.4,3.6,2.8481896551724137,60.0,5,4,232
719,Darius Carter,College of Engineering,4.0,4.0,3.013894736842105,75.0,4,2,95
720,Hong Luo,College of Engineering,1.8,4.4,2.744448017148982,20.0,5,16,933
721,Colin Tschida,College of Engineering,4.0,3.0,2.8478494623655917,-1.0,1,10,372
722,Andrey Kuznetsov,College of Engineering,3.6,3.5,2.8476673532440784,66.6667,4,34,1942
723,Tarek Echekki,College of Engineering,3.9,3.5,2.918188757807078,75.0,8,27,1441
724,Stephen Terry,College of Engineering,4.3,3.0,3.1075502873563217,90.9091,11,36,1392
725,William Phan,College of Humanities and Social Sciences,4.0,5.0,3.537692307692308,100.0,1,19,637
726,Kevin Kiley,College of Humanities and Social Sciences,3.5,3.1,3.3285365853658537,60.0,15,9,287
727,David Hook,College of Sciences,2.7,3.8,2.292353971962617,-1.0,9,16,1712
728,Patrick Kent,College of Humanities and Social Sciences,3.6,3.5,2.6592465753424657,-1.0,6,6,292
729,Tiegang Fang,College of Engineering,3.3,3.3,3.0949413833528716,66.6667,6,31,1706
730,Kenneth Granlund,College of Engineering,5.0,4.0,3.0600108695652177,100.0,1,17,920
731,Marie Muller,College of Engineering,3.6,3.6,2.8094466403162057,63.6364,11,26,1012
732,Yong Zhu,College of Engineering,3.0,3.3,2.861270190895741,66.6667,4,32,1362
733,Mark Pankow,College of Engineering,3.0,4.0,2.931558073654391,0.0,1,13,706
734,Kara Peters,College of Engineering,3.4,4.3,2.8955086372360843,66.6667,4,17,1042
735,Chau Tran,College of Engineering,3.3,4.0,3.143063157894737,50.0,25,108,4750
736,Edmond Perkins,College of Engineering,3.2,4.2,2.9688947368421053,55.5556,9,5,190
737,Jie Yin,College of Engineering,2.5,3.8,3.2682488479262672,50.0,4,10,434
738,John Strenkowski,College of Engineering,1.5,3.0,2.9982064650677787,0.0,2,28,959
739,Liming Xiong,College of Engineering,5.0,3.0,3.3827272727272724,100.0,1,2,187
740,Fuh Gwo Yuan,College of Engineering,2.5,4.3,3.123246073298429,-1.0,4,7,191
741,Joseph Johnson,College of Sciences,4.9,3.3,2.88437106918239,100.0,12,6,318
742,Thomas Dow,College of Engineering,2.0,5.0,3.1247604790419166,0.0,1,21,668
743,Hao Su,College of Engineering,3.5,3.3,3.5828729281767955,62.5,8,3,181
744,Nicholas Garcia,College of Engineering,3.0,3.0,2.67,33.3333,3,1,58
745,Chris Vermillion,College of Engineering,3.3,4.0,3.152470588235294,100.0,3,4,340
746,Hassan Hassan,College of Engineering,1.4,4.5,2.696271929824561,-1.0,4,7,228
747,Sharon Thorne,College of Sciences,2.0,3.3,2.8988454376163877,20.0,15,7,537
748,Elizabeth Kautz,College of Sciences,3.3,3.0,2.9995670995670993,66.6667,3,2,231
749,Lew Reynolds,College of Engineering,3.5,3.5,2.7258057271195963,50.0,8,45,1781
750,Aram Amassian,College of Engineering,3.0,3.1,3.1392897727272726,50.0,10,11,704
751,Yin Liu,College of Engineering,2.5,3.0,3.27,100.0,2,1,139
752,Shelby Pillai,College of Engineering,4.0,4.0,2.9876760563380276,100.0,1,3,284
753,Linyou Cao,College of Engineering,1.7,3.6,2.9349476439790574,0.0,11,12,764
754,Srikanth Patala,College of Engineering,4.3,3.3,2.989622641509434,100.0,3,8,424
755,Donald Brenner,College of Engineering,4.3,2.0,3.387571277719114,100.0,3,21,947
756,Joseph Tracy,College of Sciences,3.7,3.3,3.015,66.6667,3,21,768
757,Ronald Scattergood,College of Engineering,4.0,2.0,3.0105882352941173,-1.0,1,14,527
758,Martin Seifrid,College of Engineering,4.0,3.5,3.0,100.0,2,1,90
759,Kaveh Ahadi,College of Engineering,4.3,2.3,3.038125,66.6667,3,4,224
760,Veronica Augustyn,College of Engineering,3.4,3.8,2.9533776091081596,64.2857,14,11,527
761,Douglas Irving,College of Engineering,4.8,3.0,2.878104265402844,100.0,5,21,1266
762,Yaroslava Yingling,College of Engineering,4.1,3.2,2.7555842185128983,76.9231,20,25,1318
763,Ramon Collazo,College of Engineering,3.3,3.8,2.739212454212454,75.0,4,13,546
764,Jacob Eapen,College of Engineering,5.0,4.0,3.4749413735343375,100.0,1,17,597
765,Jason Hou,College of Engineering,2.0,4.0,3.0276902173913043,0.0,2,12,368
766,Dmitriy Anistratov,College of Engineering,2.7,4.7,2.696964560862866,33.3333,3,22,649
767,Scott Lassell,College of Engineering,4.5,2.5,2.7672357723577234,100.0,2,13,246
768,Scott Palmtag,College of Engineering,4.7,3.3,2.8246391752577322,100.0,6,10,291
769,Yousry Azmy,College of Engineering,4.0,2.0,2.789254237288136,100.0,1,13,295
770,Steven Shannon,College of Engineering,3.5,3.0,3.063584905660377,-1.0,1,8,159
771,Ian Roederer,College of Sciences,4.6,3.0,2.6417981072555206,81.8182,11,6,634
772,Brand Fortner,College of Sciences,4.3,3.1,2.8152560801144495,90.1961,65,122,6990
773,Katie Mack,College of Sciences,3.3,3.9,2.362554945054945,28.5714,7,16,728
774,Rongmon Bordoloi,College of Sciences,2.7,3.8,2.619270216962525,47.3684,19,10,1014
775,Robert Egler,College of Sciences,3.7,2.6,3.642226438962681,64.2857,26,2356,56916
776,Carla Fröhlich,College of Sciences,4.4,3.7,2.591181750186985,100.0,9,68,2674
777,James Kneller,College of Sciences,3.6,3.7,2.632369263607257,85.7143,12,28,1874
778,Keith Warren,College of Sciences,4.1,2.7,2.727615027437739,90.0,29,172,9476
779,Vijaya Mehta,College of Sciences,4.4,3.4,2.744987822698491,91.3043,23,108,4106
780,David Haase,College of Sciences,3.9,3.6,2.772291993720565,-1.0,7,26,1274
781,Robert Riehn,College of Sciences,1.8,4.1,2.4109630818619587,25.0,9,20,1246
782,Michael Paesler,College of Sciences,2.7,3.9,1.8755680655066531,-1.0,17,22,1954
783,Mary Elting,College of Sciences,2.8,4.1,2.301375545851529,30.7692,13,12,916
784,Stephen Reynolds,College of Sciences,4.4,4.1,2.607710843373494,81.8182,18,42,1660
785,Kenan Gundogdu,College of Sciences,3.5,3.3,2.448852061438965,50.0,28,34,2474
786,John Blondin,College of Sciences,2.9,4.0,2.597110582639714,100.0,10,30,1682
787,Divine Kumah,College of Sciences,3.9,3.3,2.5808947885939038,73.3333,15,24,2034
788,Christopher Gould,College of Sciences,4.8,2.8,3.0752406417112303,100.0,5,14,374
789,Dean Lee,College of Sciences,4.7,3.5,2.7352223816355807,100.0,13,24,2788
790,Harald Ade,College of Sciences,3.5,3.9,2.4461213720316626,100.0,11,28,1516
791,Matthew Green,College of Sciences,4.3,3.1,2.4347773972602735,60.0,8,12,1168
792,Daniel Dougherty,College of Sciences,3.5,3.9,2.5336485580147556,60.0,12,56,2982
793,Karen Daniels,College of Sciences,3.5,3.9,2.567709497206704,61.1111,21,40,2506
794,Zachary Lewis,College of Sciences,2.4,4.0,2.437955534074433,36.3636,139,190,16552
795,Aaron Titus,College of Sciences,4.7,3.4,2.6573657548125635,94.2857,35,16,1974
796,Jason Bochinski,College of Sciences,3.0,4.4,2.2323707370737074,62.5,13,70,3636
797,Keith Weninger,College of Sciences,4.3,3.7,2.622118245888802,89.3617,61,54,5108
798,Celeste Sagui,College of Sciences,2.7,3.7,2.078776758409786,60.0,32,28,2616
799,Shuang Lim,College of Sciences,2.7,3.7,2.0883406352683456,27.2727,31,56,3652
800,Samuel Wheeler,College of Sciences,3.0,4.5,2.6128778135048227,50.0,2,16,1244
801,Danny Doucette,College of Sciences,5.0,2.9,3.6002859292701284,100.0,34,326,7974
802,Clayton Burrus,College of Sciences,4.3,2.8,2.37,75.0,4,2,292
803,Kasey Wagoner,College of Sciences,4.5,3.1,3.4904635441815555,90.4762,21,144,4142
804,Zodiac Webster,College of Sciences,1.5,4.5,2.264305489260143,12.6214,103,50,4190
805,Michael Norman,College of Agriculture and Life Sciences,4.7,2.7,2.487857142857143,100.0,3,4,336
806,John Bronn,College of Humanities and Social Sciences,5.0,1.0,2.553466272772033,-1.0,1,53,2031
807,Hai Pan,College of Sciences,2.6,3.9,2.7939641943734017,37.5,8,8,782
808,Julio Belmonte,College of Sciences,4.2,3.6,2.7007435897435896,72.7273,11,12,1560
809,Richard Longland,College of Sciences,4.7,3.3,2.582111650485437,100.0,7,22,824
810,Brandon Long,College of Sciences,3.3,4.1,2.3138297872340425,66.6667,8,6,752
811,Pil-Neyo Seo,College of Sciences,1.9,4.7,2.4309523809523808,33.3333,9,4,168
812,Kory Green,College of Sciences,3.2,4.2,2.5562903225806455,80.0,5,6,372
813,Dali Sun,College of Sciences,4.2,3.3,2.4002123552123553,87.5,8,20,1036
814,Robert Beichner,College of Sciences,3.5,3.5,2.91993006993007,100.0,15,30,2574
815,William Schmidt,College of Sciences,3.5,2.5,2.450386409060626,-1.0,4,50,3002
816,Colleen Countryman,College of Sciences,4.7,3.3,2.5956360572872783,100.0,15,28,2374
817,Edward Davis,College of Sciences,1.7,3.5,2.547757352941176,15.3846,13,14,1088
818,Hans Hallen,College of Sciences,2.2,4.0,2.329380725540491,33.3333,23,60,5458
819,Kevin Rasch,College of Sciences,3.8,3.6,2.3576297968397286,-1.0,7,8,886
820,William Sams,College of Sciences,4.3,3.3,2.794761904761905,-1.0,3,10,672
821,Lili Cui,College of Sciences,3.2,3.0,2.4793125,-1.0,3,10,960
822,Michelle Pine,College of Sciences,1.8,4.3,1.9400000000000002,-1.0,3,2,290
823,David Fallest,College of Sciences,3.2,3.6,2.1615379939209722,0.0,11,34,3290
824,Elizabeth Sacho,College of Sciences,2.5,2.3,2.63,-1.0,7,2,268
825,Eli Owens,College of Sciences,2.0,4.3,1.983151364764268,0.0,4,10,806
826,Richard Patty,College of Sciences,4.5,3.2,2.6852249999999995,-1.0,13,22,2400
827,Alena Karpusenka,College of Sciences,1.9,3.9,2.0319815668202765,-1.0,10,6,434
828,David Aspnes,College of Sciences,3.8,2.8,2.1042776523702034,100.0,12,18,1772
829,Matthew Kohlmyer,College of Sciences,3.4,2.9,2.406522008679479,-1.0,17,28,3226
830,Thomas Pearl,College of Sciences,5.0,4.0,2.207383177570094,-1.0,2,10,1070
831,William McNairy,College of Sciences,2.9,4.4,2.38015873015873,50.0,8,10,630
832,Ruth Chabay,College of Sciences,2.2,4.1,2.3545303867403318,-1.0,10,6,724
833,Laura Clarke,College of Sciences,4.1,3.4,2.449392045454545,86.6667,26,40,3520
834,Jim Chilton,College of Sciences,3.7,3.3,2.662871794871795,-1.0,3,6,390
835,Keith Heyward,College of Sciences,4.4,3.5,2.603704445334401,97.7778,67,326,24970
836,Xingcheng Lin,College of Sciences,4.6,3.0,2.3476029962546816,100.0,5,4,534
837,Carmen Lee,College of Sciences,4.0,3.8,2.32,100.0,4,2,130
838,Leendert Hayen,College of Sciences,5.0,2.0,2.34,100.0,1,2,256
839,Sharonda LeBlanc,College of Sciences,4.5,2.3,2.5376666666666665,75.0,4,6,840
840,Keith Hillaire,College of Sciences,5.0,2.5,2.29,100.0,2,2,158
841,John Thomas,College of Sciences,4.6,3.9,2.6930206185567016,100.0,9,30,1940
842,Jerry Bernholc,College of Sciences,3.0,3.0,2.01,0.0,1,2,164
843,Alexander Bataller,College of Sciences,2.0,3.8,2.3766554054054057,33.3333,6,6,592
844,Charles Stapleford,College of Sciences,4.0,5.0,2.5900000000000003,100.0,1,2,208
845,Jonathan Erb,College of Sciences,2.0,4.0,2.6,0.0,1,2,294
846,Jeffrey Mullen,College of Sciences,1.9,4.1,2.6143034575360855,0.0,11,86,2979
847,Preston Countryman,College of Sciences,5.0,3.0,2.625,-1.0,1,4,384
848,James Joseph,College of Sciences,3.3,3.5,2.45,-1.0,2,2,288
849,Parminder Kaur,College of Sciences,3.0,3.5,2.501718146718147,50.0,4,18,1036
850,Eric Raymer,College of Sciences,4.3,2.5,2.3161777777777783,100.0,4,6,450
851,Christopher Roland,College of Sciences,2.3,4.3,1.905285750571501,30.0,16,68,3937
852,Omadillo Abdurazakov,College of Sciences,4.5,3.0,2.8448366013071897,100.0,2,10,612
853,Vladimir Skokov,College of Sciences,5.0,2.9,2.5707610993657504,100.0,7,8,946
854,William Ditto,College of Sciences,2.3,3.6,2.0,22.2222,9,2,494
855,William Robinson,College of Sciences,3.3,4.0,2.259765100671141,100.0,2,42,1192
856,Chung JI,College of Sciences,3.2,3.7,2.13,-1.0,3,2,154
857,Davide Lazzati,College of Sciences,4.5,3.0,2.792442477876106,-1.0,1,18,1130
858,Albert Young,College of Sciences,4.2,3.4,2.9454351687388995,50.0,5,38,1126
859,Haddy Njie,College of Humanities and Social Sciences,3.4,4.0,3.2148095238095236,61.9048,25,56,1470
860,Alecia Matthews,,5.0,1.0,3.4453920220082526,-1.0,1,34,727
861,Craig Brookins,College of Humanities and Social Sciences,4.8,3.2,3.219405450041288,100.0,5,59,1211
862,Deidre Crumbley,College of Humanities and Social Sciences,1.8,3.4,3.22659793814433,-1.0,7,30,679
863,Frances Graham,College of Humanities and Social Sciences,4.8,1.8,3.733654223968566,100.0,10,28,1018
864,Stephen Ferguson,College of Humanities and Social Sciences,2.5,2.7,3.384723247232472,38.4615,13,26,813
865,Darrell Stover,College of Humanities and Social Sciences,2.5,3.5,2.6766772486772488,30.0,10,33,945
866,Natalie Brown,College of Humanities and Social Sciences,4.4,2.3,3.7722168441432715,87.5,8,34,1033
867,Denise Heinze,College of Humanities and Social Sciences,4.0,4.0,2.7899027777777783,-1.0,1,30,720
868,Marc Dudley,College of Humanities and Social Sciences,3.9,2.8,3.0687592137592135,44.4444,16,64,1628
869,Moses Khisa,College of Humanities and Social Sciences,3.2,3.2,3.2869594594594593,30.7692,13,20,592
870,Emily McDowell,College of Humanities and Social Sciences,2.9,3.1,3.2422096317280453,50.0,16,54,2118
871,Emily Dew,College of Humanities and Social Sciences,4.6,2.4,3.3963243430152152,93.617,47,50,2892
872,Tara Clarke,College of Humanities and Social Sciences,4.4,1.9,3.4518555417185555,88.2353,34,30,1606
873,Julie Wesp,College of Humanities and Social Sciences,5.0,2.1,3.5638229755178905,100.0,8,14,531
874,kara walker,College of Humanities and Social Sciences,1.7,4.2,2.5659362549800795,16.6667,6,5,251
875,Kathryn Grossman,College of Humanities and Social Sciences,3.9,3.6,3.0695336391437316,66.6667,24,31,1308
876,Dru McGill,College of Humanities and Social Sciences,4.5,2.7,3.27545073375262,100.0,12,28,954
